player_id,player_name,team,rushing_yds,receptions,receiving_yds,fumbles,touchdowns
0f8ccece-d663-4069-944b-f318f64c60b7,Melvin Gordon III,DEN,201,11,98,4,1
25bc08ac-8420-4340-94c6-93993ff87d6f,Devine Ozigbo,DEN,2,0,0,0,0
540f8b30-900e-4d17-8756-c262ba5fa039,Latavius Murray,DEN,57,1,8,0,1
889dcdc5-3d88-45df-9677-5ad7ff87c011,Javonte Williams,DEN,204,16,76,1,0
9424475a-fba7-4bfd-b79c-f372ad28082a,Mike Boone,DEN,59,6,61,0,0
d4f0aa89-6309-4977-b779-7501eb8c8508,Damarea Crockett,DEN,0,0,0,0,0
1376da0d-0448-4a37-bd99-842c4580eeda,Sony Michel,LAC,86,8,45,0,0
21e671a3-1260-4e1a-954c-005a290cf06b,Larry Rountree III,LAC,0,0,0,0,0
62542e04-3c44-4b75-8165-be674c8be75f,Joshua Kelley,LAC,104,7,56,0,1
c77e2eb3-ae90-4819-afb1-c6f88e558717,Isaiah Spiller,LAC,0,0,0,0,0
e5b8c439-a48a-4f83-b63b-1a4d30e04cd3,Austin Ekeler,LAC,349,41,261,1,6
15965c39-17be-4338-911a-8f337f48a3ce,Ronald Jones,KC,0,0,0,0,0
3a25c037-fa30-4740-b742-ec8e4f1a2a25,Isiah Pacheco,KC,149,2,9,2,1
567fe739-5425-4d78-896c-f1486813910d,Wayne Gallman,KC,0,0,0,0,0
8aa01565-4481-443a-9951-642c98ded113,Clyde Edwards-Helaire,KC,256,16,137,0,5
f77479d7-51a5-41f9-8924-69526dd078cd,Jerick McKinnon,KC,107,11,80,0,1
2e808f70-d3a3-11ec-96a0-c3471a31202c,Sincere McCormick,LV,0,0,0,0,0
387c8819-5892-4528-ac33-0ec72b24cc2f,Brittain Brown,LV,0,0,0,0,0
440d7750-672e-4293-8eb0-89b241a498eb,Zamir White,LV,19,0,0,0,0
61694ab9-b099-408e-b48d-6a643dd069ec,Josh Jacobs,LV,490,17,129,1,3
