player_id,name,position,team,conference,top_prospect,year
1f282a0d-74d2-4313-826f-091dcbe5e4ab,Ryan Willis,QB,Hokies Virginia Tech,ACC,No,2020
21f6f2ee-bf83-4e2e-8051-f382208f8d8f,Lee Autry,DT,Bulldogs Mississippi State,SEC,No,2020
2959acb3-71a4-4bb8-94ae-006e9deb19f5,Khalid Kareem,DL,Fighting Irish Notre Dame,IA Independents,No,2020
26b39358-13fa-4a40-b436-bb02382dc734,James Pierre,CB,Owls Florida Atlantic,Conference USA,No,2020
2cb60db2-6db0-4f2c-9a4f-a2f330c3527b,Michael Warren II,RB,Bearcats Cincinnati,American Athletic,No,2020
2dcd87fb-1f76-4bdd-878c-7c02a42f317b,Malcolm Roach,DL,Longhorns Texas,Big 12,No,2020
2e9d5406-c3a7-4883-baa3-260c11b0b5b6,Garrett Marino,DL,Blazers UAB,Conference USA,No,2020
33ecc90f-85d1-4f44-bfa7-959e480abacc,Jared Rice,TE,Bulldogs Fresno State,Mountain West,No,2020
30648ea2-d5b1-4a2b-a0ee-613ff6304035,Harrison Hand,CB,Owls Temple,American Athletic,No,2020
373d3097-64f3-498f-be2f-78ebe06f3bf2,Bryan Edwards,WR,Gamecocks South Carolina,SEC,No,2020
3c27c8a7-48da-4238-9936-511e17240f23,Myles Bryant,DB,Huskies Washington,Pac-12,No,2020
40b70941-ed72-4749-8dff-80fbf4845e45,Tre'Vour Wallace-Simms,OL,Tigers Missouri,SEC,No,2020
4727ea30-e4a1-4ccf-b0b4-83ef7dce8956,Branden Bowen,OL,Buckeyes Ohio State,Big Ten,No,2020
4730d59d-96cc-4791-914b-7f2bcefdc62e,Alohi Gilman,SAF,Fighting Irish Notre Dame,IA Independents,No,2020
4a2e8777-8b4f-47f1-88a8-f72c1dbce1df,Khalil Davis,DL,Cornhuskers Nebraska,Big Ten,No,2020
4a2e87df-3149-4ff8-9f93-b39e8e7abb99,A.J. Epenesa,DE,Hawkeyes Iowa,Big Ten,Yes,2020
4c366344-0c57-4c57-af21-9a170ce4544c,Ben DiNucci,QB,,,No,2020
4c57411a-dc1c-4625-8245-c69a2167f4ad,Jay Jay Wilson,RB,Tigers Auburn,SEC,No,2020
4c37c9dd-041f-4fcd-b64b-3f42aa8d32cc,Laviska Shenault Jr.,WR,Buffaloes Colorado,Pac-12,Yes,2020
48f7821f-4ddc-4f2e-93ff-b0cf59c0dc3d,Johnathon Johnson,WR,Tigers Missouri,SEC,No,2020
4d3867b7-c6bf-458f-9c54-672060467d5b,Mason Fine,QB,Mean Green North Texas,Conference USA,No,2020
4d7efaf4-9ae1-4b11-a28b-b7a125b621c2,Trystan Colon-Castillo,OL,Tigers Missouri,SEC,No,2020
4e3eba59-a2ab-4bd1-8d44-46588674f280,Levonta Taylor,DB,Seminoles Florida State,ACC,No,2020
51f4a6bb-8ff5-4ac7-805c-63733f8de787,Ke'Shawn Vaughn,RB,Commodores Vanderbilt,SEC,Yes,2020
53575e92-f174-4296-b4e4-6ccf018ac6e9,Michael Turk,P,Sun Devils Arizona State,Pac-12,No,2020
54e2ee23-6269-426a-8e0c-7bf4590679e5,Geno Stone,DB,Hawkeyes Iowa,Big Ten,No,2020
55c0a20f-291d-40d0-9dcb-963a48da73d6,Tony Jones Jr.,RB,Fighting Irish Notre Dame,IA Independents,No,2020
5572cd09-aacc-461a-882a-7fe4615ddaeb,Jalen Hurts,QB,Sooners Oklahoma,Big 12,Yes,2020
572a0b7e-2482-4675-b205-1af4b0060be4,Malcolm Perry,QB,Midshipmen Navy,American Athletic,No,2020
57f8e42b-9973-4336-ba53-c99c2b6eff0c,Michael Divinity Jr.,OLB,Tigers LSU,SEC,No,2020
550cf8a4-08c8-44d8-803f-e8eb3b4c451b,Jerry Jeudy,WR,Crimson Tide Alabama,SEC,Yes,2020
59e1e38b-0f07-4627-b5c9-5c811e61bf0a,Pete Guerriero,RB,Hawks Monmouth,Big South,No,2020
59e83327-1732-4442-b167-fd7b1b3855ba,Toren Young,RB,Hawkeyes Iowa,Big Ten,No,2020
5a8d6566-e508-417e-8b6f-6743c0a8f3f9,Kyahva Tezino,LB,Aztecs San Diego State,Mountain West,No,2020
5b5e5532-3259-464e-9a99-4c8c83d3b3bd,Raekwon Davis,DL,Crimson Tide Alabama,SEC,Yes,2020
5d1cba4d-cf97-471e-9cc5-e76f131c5a89,Steven Montez,QB,Buffaloes Colorado,Pac-12,No,2020
5e83ba0c-d910-4656-a7f3-c779d3da239f,Houston Miller,DL,Red Raiders Texas Tech,Big 12,No,2020
114c11ee-aa87-473d-b9dc-e0ad899dcf06,Collin Johnson,WR,Longhorns Texas,Big 12,Yes,2020
0f77ed0b-1420-439c-8a69-ac42600a5ddf,T.J. Brunson,LB,Gamecocks South Carolina,SEC,No,2020
1108e620-0141-4713-bae5-fe363cbebdce,LeVante Bellamy,RB,Broncos Western Michigan,Mid-American,No,2020
138131c1-de7d-49e5-b9e8-a329656d6ce2,Jared Mayden,DB,Crimson Tide Alabama,SEC,No,2020
172d3b44-c977-46a9-acee-b7d54f4fb138,Kendall Coleman,DL,Orange Syracuse,ACC,No,2020
6e5527fa-f224-47ed-a838-b91dbdec6498,Rodney Clemons,SAF,Mustangs SMU,American Athletic,No,2020
71c88aaf-e62c-483e-879f-957c328496ff,McTelvin Agim,DL,Razorbacks Arkansas,SEC,No,2020
72145e51-a3ba-4464-ab83-659e7c94d36d,Terrell Burgess,DB,Utes Utah,Pac-12,No,2020
73d2d45c-54e2-4a84-bfde-efedf504e7cf,Kenny Robinson,SAF,Mountaineers West Virginia,Big 12,No,2020
73ae93c1-3687-41bd-bed7-307637faff4b,Ben Bredeson,OL,Wolverines Michigan,Big Ten,No,2020
77e92398-a117-44d1-97f6-d882add273ef,Freddie Swain,WR,Gators Florida,SEC,No,2020
04fd3f7a-caa1-4c03-bf7c-5fa5d52e600c,Tony Brown,WR,Buffaloes Colorado,Pac-12,No,2020
0aba58b9-88cd-4058-862f-4db110c747d4,Parker Braun,OL,Longhorns Texas,Big 12,No,2020
0a6ddf89-88a7-4b45-bf9b-d10eebb285bf,Ross Blacklock,DT,Horned Frogs TCU,Big 12,Yes,2020
0bd778b1-ced0-42bf-8aff-adf7d9365bfe,Antoine Brooks Jr.,DB,Terrapins Maryland,Big Ten,No,2020
0b84afa5-16aa-4796-80bf-84ab3ccbdcf8,Jaylon Johnson,DB,Utes Utah,Pac-12,Yes,2020
64c7ddc1-dbca-4c88-8c2c-7f330540ff66,Reggie Floyd,DB,Hokies Virginia Tech,ACC,No,2020
6c71e557-a2b5-483e-a152-a03f42991094,Qaadir Sheppard,LB,Rebels Ole Miss,SEC,No,2020
6d5c3ea2-5b59-450d-ab6b-3f8d1de8e7b1,Quez Watkins,WR,Golden Eagles Southern Miss,Conference USA,No,2020
785f96b2-1458-458f-84b4-9c3de48bdc21,Clyde Edwards-Helaire,RB,Tigers LSU,SEC,Yes,2020
7a9563ad-9b7a-40e8-9648-ea6d2e64594a,Jason Huntley,RB,Aggies New Mexico State,IA Independents,No,2020
7b90a82e-b85e-496a-b886-7e593214fa27,Jeremy Chinn,SAF,Salukis Southern Illinois,Missouri Valley,Yes,2020
7b3a6cf5-c4ac-4196-8b53-2c7f9ef65cb9,Cody White,WR,Spartans Michigan State,Big Ten,No,2020
1ada65a4-0f4f-497e-a70c-bd9c7a5d28fa,Mitchell Wilcox,TE,Bulls South Florida,American Athletic,No,2020
5da7c751-55e8-405a-ba77-9c7517b473bb,Joseph Charlton,P,Gamecocks South Carolina,SEC,No,2020
62494872-b965-4257-8008-f3d07581904b,Blake Brandel,OL,Beavers Oregon State,Pac-12,No,2020
635130a0-3d32-4161-9b89-b8ffa169102a,Mekhi Becton,OL,Cardinals Louisville,ACC,Yes,2020
7d4ca3a4-2e4e-416c-b338-3a6fb8bb16c0,Krys Barnes,LB,Bruins UCLA,Pac-12,No,2020
acd6e8e8-78f1-4100-be42-fc133bebae7d,Cale Garrett,LB,Tigers Missouri,SEC,No,2020
ad5f9ca0-11ff-4a00-9cce-d259da4e4fd9,Tyler Huntley,QB,Utes Utah,Pac-12,No,2020
add6fe70-754a-4b7d-aa9d-b92dca0d0946,Jarrett Guarantano,QB,Volunteers Tennessee,SEC,No,2020
ad82bb00-2420-4058-81a1-43447661185d,Jaron Bryant,DB,Bulldogs Fresno State,Mountain West,No,2020
ae1d096b-ab9b-4cef-aced-b84f2b8286ad,Darrell Taylor,LB,Volunteers Tennessee,SEC,No,2020
aebb191c-0fe3-4def-a9ed-bd1b3ed0f2d3,Jordyn Brooks,LB,Red Raiders Texas Tech,Big 12,No,2020
b00b2d33-fde7-4b63-b581-ddcab9573c08,Dominick Wood-Anderson,TE,Volunteers Tennessee,SEC,No,2020
b0775515-6308-4dff-b0ba-c9cc4fb784de,Saahdiq Charles,OT,Tigers LSU,SEC,Yes,2020
b141d3f9-eee3-4c4d-9a72-aa22cb9863f9,Eno Benjamin,RB,Sun Devils Arizona State,Pac-12,No,2020
b1165f9d-db9f-4262-8664-c415d972f88a,Cole Chewins,OT,Spartans Michigan State,Big Ten,No,2020
b174bbbb-d2f3-4345-94d6-47424428b90d,Trajan Bandy,DB,Hurricanes Miami (FL),ACC,No,2020
b28f7909-c6fd-40e9-87ea-cb3f111ec344,Carlos Davis,DL,Cornhuskers Nebraska,Big Ten,No,2020
b520dacc-d4af-4b97-95cd-416f99bcabe5,Kalija Lipscomb,WR,Commodores Vanderbilt,SEC,No,2020
bffbec0e-be58-49e7-91eb-59cc9cb5c7e5,Omar Bayless,WR,Red Wolves Arkansas State,Sun Belt,No,2020
c151f241-ec12-4f1b-b4bc-be78f3c0ede1,Evan Weaver,LB,Golden Bears California,Pac-12,No,2020
c20360db-8dcf-4299-970b-776af26150e2,Henry Ruggs III,WR,Crimson Tide Alabama,SEC,Yes,2020
c41082f9-aef4-4c93-a535-feafadf9839b,Zach Robertson,OL,Sun Devils Arizona State,Pac-12,No,2020
c4c74cc4-c2a2-4c26-92a8-700758bf53c0,Zach Shackelford,OL,Longhorns Texas,Big 12,No,2020
7eebe83a-dceb-4abb-a25b-393d990faaa3,Cameron Clark,OL,49ers Charlotte,Conference USA,No,2020
81715951-b16f-47ed-9043-a91d0da1761a,Trey Adams,OL,Huskies Washington,Pac-12,Yes,2020
81cf53e7-cf86-454c-aae4-45b577ccf35f,Jalen Elliott,SAF,Fighting Irish Notre Dame,IA Independents,No,2020
825f2216-7fcf-4f00-a6c3-4d5a9b9b4192,Malik Harrison,LB,Buckeyes Ohio State,Big Ten,Yes,2020
8240d412-2c55-45d1-bfc5-e627303dd35e,Justin Rohrwasser,K/P,Thundering Herd Marshall,Conference USA,No,2020
82d8d745-9de4-483f-9492-1c15ed98ad4e,Antoine Winfield Jr.,DB,Golden Gophers Minnesota,Big Ten,Yes,2020
8435558f-0316-4eed-a282-ce388ff0f1d2,Grant Delpit,SAF,Tigers LSU,SEC,Yes,2020
